DFTU	DFRC	DFNC	DFRN
CRYGN	XLOC_005362	XLOC_l2_010083	XLOC_l2_008190
C2orf72	TCF25	ACADM	RIMS3
OBFC1	EXOSC7	ZNF167	FLJ23867
VIL1	SFI1	XLOC_000916	LOC100133991
KCNH1	XLOC_002965	BCL9	PIP4K2C
XLOC_010715	TTC28-AS1	SNX10	AZI1
XLOC_009815	PLCD4	CLECL1	LOC100507651
PEX5	XLOC_003364	SLC15A4	PKHD1
LOC100507128	XLOC_013562	LOC100287628	C1orf31
RPUSD3	SMC1A	REXO2	HS2ST1
KIAA1614	GSTM1	MAN2A2	TMEM89
SNORD11B	PDCD7	XLOC_010586	LOC100130248
XLOC_l2_007405	XLOC_009576	CHD7	CD163L1
LOC157860	XLOC_l2_014720	C8orf38	XLOC_005877
GRK6	LOC643733	MDH1	XLOC_l2_011048
XLOC_l2_009804	ZNF444	KLHL31	MAGEB6
XLOC_005081	PLD1	DNAJB4	XLOC_002486
TMEM143	LOC644727	NPR1	KRT72
LOC145474	XLOC_007754	XLOC_012019	IGSF5
ALPK1	XLOC_l2_009181	MTHFR	SEMA3F
RSPRY1	XLOC_l2_015476	ZNF33A	SEPT7L
SPINK6	XLOC_010378	PCID2	XLOC_l2_005020
MAPK10	CCRL2	ZNF664	STMN4
MTX1	XLOC_001072	KBTBD3	KCNMB3
NINJ2	SNORD116-6	PCF11	KAT2A
TAPBPL	LOC100505738	XLOC_l2_008190	LRRC40
SIPA1	XLOC_001356	LOC729175	RIN1
VPS52	LOC100506285	OR52N5	XLOC_003273
SPIRE2	XLOC_003385	EAF2	LOC100128281
RFNG	FLJ44715	EFHD2	XLOC_007098
SH3BP1	SERPINB1	XLOC_001928	PPP1R3C
PAQR6	SCARNA4	NOP58	ZIC1
C17orf49	CCDC88B	TSEN2	XLOC_001339
LOC100506312	BNIP3	SNORA34	XLOC_009837
UBE2L6	KRTAP4-2	TADA3	XLOC_010712
XLOC_l2_010405	LOC100505782	SIPA1L3	XLOC_001198
PSMF1	ZFP36L1	RP2	LOC340239
NR5A2	LOC728290	FXC1	PLXNA1
ALDOA	FBXL19-AS1	PAK3	XLOC_013670
PIAS4	TNFSF13	MAGOHB	BEX5
TECPR2	SULT1A4	CLDN19	MESP2
PDXP	C17orf82	PARD6B	MFSD1
LOC100287225	XLOC_002377	THAP9	LINC00256A
ANKRD24	TRAM1	DAPP1	PCK2
FAM41C	JMJD4	RPS6KA5	XLOC_011096
LOC100505661	RANBP3	LEAP2	XLOC_006493
SNORD69	XLOC_008477	GATM	GJA10
XLOC_000379	OR5H2	XLOC_006971	XLOC_l2_013877
XLOC_l2_004611	IFITM2	MARCH9	TMEM33
HEXA	TAF3	XLOC_007607	NANOS3
UMODL1	XLOC_010409	AAAS	XLOC_010050
XLOC_013643	XLOC_009986	XLOC_004577	ITIH2
XLOC_003160	MPZ	NETO2	OR5H2
C14orf135	LOC100505786	XLOC_l2_009292	TMEM91
LOC100505930	HMMR	SPRR1A	ZMYND8
XLOC_003315	ZNF518A	ENG	NRXN1
TSG1	LOC100505681	TFG	LOC100130503
H6PD	METTL21A	CHST6	OR2J2
CCDC104	TGM6	CRAMP1L	RPL26L1
ADIG	RNASE7	UBAP1	XLOC_011927
FYN	XLOC_008225	ZNFX1	CD1C
WHAMMP2	XLOC_002145	FAM55A	NOL3
DAP	LOC100509490	SLC37A3	XLOC_001796
GLYATL2	MUC5B	ARL2	CTBS
LOC100499177	XLOC_009342	ZNF624	XLOC_l2_006745
ANKRD20A5P	DAND5	ACSL4	XLOC_008812
FAM13A-AS1	MASTL	RASGRF1	XLOC_007776
FHL3	GCC2	B3GNTL1	ZMYND11
PKIG	CCL5	RPRD1A	XLOC_006361
C17orf56	FANCA	RGS14	CUL7
PLP2	LOC100506312	HERC4	MLST8
SEPT8	TMEM14E	LOC100294362	TMEM38B
SEMA4A	TTC22	EBAG9	IQCF4
C1orf109	BATF2	CNST	XLOC_012983
GAPDH	CA5A	PLCG1	XLOC_006341
ZNF653	LRP2	XLOC_l2_015585	XLOC_009813
XLOC_000901	SLCO2A1	GUSBP5	IFI27L2
DNAJC21	XLOC_011130	C6orf64	CUL5
XLOC_007346	CHRNB3	CEBPE	XLOC_l2_010083
CTAGE10P	ZFP36L2	SPHK1	MCOLN2
LILRA2	TNFRSF19	KIAA1841	XLOC_013957
C22orf34	KIAA1539	THAP5	XLOC_004178
SETDB2	XLOC_007435	PCNA-AS1	KIAA1324
SCRN2	L2HGDH	SNORD89	LMTK3
TERF2	LOC100509323	SNORA16A	XLOC_000735
PARP3	ECH1	RASSF7	XLOC_005810
C1QTNF9B	LCN8	RBM33	XLOC_010915
KAT7	LOC100133461	LOC100505854	VANGL2
ND6	GALNT5	ANKRD24	BDKRB2
MAP4K5	XLOC_006332	LOC100505692	LPP
CENPC1	MAPK12	DNAJC16	ATP5L2
LOC400743	LOC728323	OPRD1	LOC100506379
LOC100506897	ASMTL-AS1	RELL2	CISH
HPR	ASXL2	FOXRED1	STRN3
LOC100506673	XLOC_003014	DEFB129	ABI3BP
FAM123A	XLOC_003805	ZNF100	RAB6B
XLOC_004988	XLOC_000641	ZBTB22	XLOC_009367
ING5	NBPF15	KRTAP10-10	FAM55A
ARL11	LOC100507769	LOC100507303	UBQLN2
OR2A7	PGS1	SNHG5	OR9H1P
ATF4	DNAH11	RFX3	GSTP1
SMARCA2	TRAF3IP2	SBF1P1	XLOC_004260
NINL	MLPH	XLOC_008706	UGCG
XLOC_012689	TXNRD3NB	DBP	ZC3HAV1
XLOC_008133	LYL1	LOC643802	XLOC_l2_012940
SMAP2	OSBPL3	LOC283483	ZNF204P
LOC255512	SDAD1	XLOC_004231	C16orf90
LOC647070	XLOC_003913	C9orf89	FOPNL
LOC100288615	XLOC_l2_005438	POC5	C6orf112
CYP4F2	Q9B8G3	EPS15	MEF2C
MAG	AP1M2	DNTTIP2	SLFNL1
FOXRED1	CTDSPL	LOC401397	LOC100505701
C17orf101	TMEM132B	SORBS3	LOC100289308
XLOC_004593	XLOC_004988	CERS4	TRIM15
PTPDC1	STX2	GNPDA1	ELAVL3
KDM4A	XLOC_009195	RAB14	XLOC_001485
XLOC_000929	NR4A2	STRAP	XLOC_014038
B9D1	SNORD41	VPS29	XLOC_002597
AP4M1	MORN4	LOC100507266	LINC00313
EPC1	LRRC37A2	TIMM8B	CNGA3
FRG1B	SLC38A8	RGS8	LOC731223
LOC100509263	INPP4B	ZNF107	XLOC_007193
LOC728537	XLOC_011038	ISM1	DCHS1
XLOC_008212	LOC100506518	XLOC_010610	XLOC_008450
GEMIN8	IL10RB	NIP7	XLOC_013818
XLOC_003919	LOC100133299	LOC100130654	ARVCF
XLOC_006751	ERP44	TRIM21	FAT2
MGC10814	NRG2	SNAPC2	XLOC_l2_000324
TMEM140	PROS1	LOC100287718	XLOC_009608
TLCD2	MYF6	LRP5	LOC100132764
CALN1	RSC1A1	FOXO4	GOLGA2
LOC100289333	SYT13	WAPAL	XLOC_013896
LOC100130175	ZNF673	GPR133	TLK2
CBX6	XLOC_008981	MMP28	ZNF394
AHRR	C14orf162	XLOC_002026	XLOC_004412
LOC100506472	PCCA	SNAR-C4	XLOC_013631
XLOC_l2_007541	AMN1	METTL2B	COX4I1
XLOC_003843	XLOC_006993	ZXDB	ZRANB3
UTF1	XLOC_008573	CCDC41	PCDHB5
XLOC_l2_015476	LOC100130705	STX5	ALG5
CCDC69	DLEU1	PCDHB9	GPRC5D
TTC14	XLOC_l2_010405	PI4KB	ATG16L2
TRIM52	RNF10	RELL1	PTP4A1
LOC100505738	C4orf21	ARHGDIA	JUND
XLOC_006993	OR5L1	ZNF268	RALGAPA1
LOC100335030	XLOC_l2_006033	IL17RC	RMI1
XLOC_004261	ZBTB37	XLOC_l2_005692	XLOC_012079
LOC100652765	XLOC_008632	ITFG2	PRTN3
AGPS	TLR3	XLOC_012408	TEAD2
CYC1	DECR1	RSBN1	XLOC_000104
KCNJ14	LOC100128922	PRR14	XLOC_014395
TRIM65	PRCC	SPTBN4	LRRN3
LOC283887	XLOC_002702	RBCK1	XLOC_010110
FAM57A	C19orf40	SPRYD4	XLOC_002688
CDC5L	NPHP3	ZNF718	PCNXL2
LOC729444	CALM3	DDN	LOC100505854
CEP57L1	LINC00403	MXD3	RG9MTD1
ABCD4	TMSB4Y	EDEM2	LOC100507511
AAMP	GIMAP7	FAM117B	KC6
ZMYND10	XLOC_012647	ZNF821	LOC100505676
C4orf21	ANKRD20A2	SMTN	LOC100507579
C19orf50	GSG1	RC3H1	SEC14L2
SPERT	XLOC_005316	KIAA0232	P60896
XLOC_012408	XLOC_l2_012748	ZNF441	RARS2
HNRNPU-AS1	XLOC_002331	MANF	XLOC_004053
ZNF609	KCNA1	DRG2	XLOC_012888
PDCD1	CECR2	SLC35C1	APRT
DBNL	C10orf112	AP1B1P1	TPTE2P6
CALCOCO1	BCAS4	SNORD11	GNE
MTF1	XLOC_l2_009136	ZNF398	HEPACAM2
XLOC_000421	AMPD1	FAM164A	XLOC_002727
HLA-DRB1	XLOC_004050	LCAT	TCF15
PTGS1	XLOC_006254	NTSR1	KRTAP27-1
FLJ13773	XLOC_009894	TRAPPC10	ALDH3B1
GAPT	RTN4RL1	PPYR1	ARHGEF37
LOC644450	MILR1	GIMAP7	LOC157273
LOC284276	EIF5	SDF4	MIR143HG
MYO7B	XLOC_000119	ZBED5	C18orf32
XLOC_l2_011118	LOC100288122	STARD10	LOC100505949
SNED1	PFKFB1	C19orf54	XLOC_006252
MCU	XLOC_l2_007468	NFYB	ENO3
CCNF	MOK	C11orf84	COCH
BTN3A1	XLOC_009459	EVX1	XLOC_002236
XLOC_008875	CYP4F3	MARCH2	USE1
SLC9A1	PCYOX1	XLOC_012064	ZNF192P1
ZBED1	XLOC_000708	SYNC	LOC100653257
SNORD116-10	C20orf123	LGR6	LINC00242
LOC100505841	XLOC_l2_005606	MANBAL	P2RY1
HLA-DQB1	COL23A1	PTRH2	ARRB2
P39195	P06788	PVRL1	PRPH
C11orf42	XLOC_001325	MGRN1	XLOC_010775
FUBP3	ERF	SCARB2	COMP
XLOC_006258	RPA4	CWC22	XLOC_003430
XLOC_010154	XLOC_006661	FAM132A	BACE1-AS
ECHDC2	FGFRL1	VAMP4	NAT8L
HLA-DRB5	C7orf33	SPHK2	GIMAP2
LOC100147773	ERN1	NRSN2	TMCC2
LOC100505949	RAD9A	LOC100507475	DGKK
C19orf2	FAM123A	FERMT3	XLOC_l2_013282
XLOC_006080	LRRC30	DHX33	MPP5
GCET2	HMCN2	NLK	POLR2J4
ZNF248	FAM70B	ATXN7L3	MTG1
SNORD62A	TAX1BP3	BUD13	XLOC_010247
KCNG4	TTC14	TPH2	ARFGAP1
PATE2	LOC145474	XLOC_005355	ARHGEF19
SNORD33	LOC100510710	NCBP1	FAM86C2P
CSNK2A2	C14orf80	SLAMF6	XLOC_l2_003889
BNIP3L	SCIN	CFL2	ACOX2
TXK	GCRG224	MXD1	ZNF221
LOC100653004	XLOC_003919	CBWD5	FLJ45513
C11orf49	FBXO27	XLOC_006905	HIST3H3
LOC386597	LOC100128366	LDLR	LOC100507372
MTMR14	XLOC_003501	GALNT7	C11orf85
ADCK2	PPP1R12C	FAM103A1	XLOC_011872
CHPF2	LOC100506844	XLOC_l2_000791	BICD2
XLOC_014300	PDK3	PLA2G6	ANKRD58
LOC642335	U2AF1	CTBP1	PCDH15
NCKAP1L	CXorf65	XLOC_l2_013513	MED10
CECR1	XLOC_l2_005826	MGC27345	MORC1-AS1
PRPF8	XLOC_007291	XLOC_006830	XLOC_005858
SNRPN	MAPK14	CYTH4	CNIH4
XLOC_011028	LOC100288160	TMEM191C	RXFP2
PCF11	WASH1	PML	FAM149B1
HLA-DQA1	XLOC_012694	XLOC_005774	XLOC_011746
SMPDL3B	WDR76	XLOC_010622	XLOC_003613
XLOC_010377	XLOC_007813	SRSF3	DRD4
CCZ1	XLOC_l2_008802	GTPBP2	TCEAL8
PPP1CA	RPS6KA3	CREB3L3	GRP
PI4KA	XLOC_011216	SPZ1	C3orf55
FRMD4A	LOC100507062	MDK	AGAP3
PSMC4	C12orf53	SNORD45B	ONECUT1
ARHGEF35	LOC650368	XLOC_014408	XLOC_011926
CA5BP1	C9orf153	MYO7B	PCSK7
XLOC_003026	MTFP1	DCBLD2	BTC
NAB1	LOC100653033	USP21	TFAP2A
PSME1	LOC100499466	NOL8	DUSP4
BCL7C	PIDD	BTBD7	XLOC_000492
PPFIA2	XLOC_003157	BACH2	HPSE
LOC100131096	LOC100509105	SNX30	XLOC_l2_007933
GNL2	LOC100652741	TSPO	NCEH1
LOC100216546	PAK1IP1	ZDHHC11B	MST1P2
AGTRAP	NBPF10	DDX18	XLOC_005331
EXOSC5	XLOC_000901	SPATA20	SNORD56B
LOC100506866	SNX3	PPM1M	ACYP2
FOXJ2	CWC22	ANKRD32	SFI1
XLOC_011188	OR10H1	TCF20	NACC1
NBPF10	XLOC_l2_014504	RNF24	XLOC_000514
DHH	LOC643401	LSP1	C11orf67
KAT6B	PPIL4	YWHAB	C1orf170
PCBP1	TMEM38B	CXXC1	RAD54L
XLOC_011728	CDK10	ORAI3	XLOC_l2_013577
P2RY10	GON4L	C12orf52	C17orf76
CKMT1A	GOLGA8A	SLC2A4RG	RARRES2
CYP4F30P	BDH2	APRT	XLOC_000352
RABGGTA	XLOC_005963	MAN2C1	CSDA
CLSPN	XLOC_l2_015907	HEATR5A	ZNF26
SUSD4	KCNA6	CHMP2B	CDK10
CSNK2B	RNF123	YIPF3	VWF
PPP1R32	RBM39	BUTR1	UBXN7
NPFF	REG1P	SS18L2	RPRM
XLOC_011809	LOC100506543	LOC100129936	XLOC_004925
GPR135	FAM110B	GALNT4	XLOC_011711
PPM1J	LOC652990	NR1D1	OR10J5
XLOC_011107	TMEM144	SP4	MBNL3
ANKRD20A3	HSF5	RFXAP	KRT19P2
XLOC_007062	LOC729737	OSTCP1	LOC100506233
FLJ41484	EVC	EXOC8	OR5AK4P
ZNF628	XLOC_008666	GPRC5A	CRCP
LOC100130830	XLOC_000457	SNORD27	XLOC_l2_010919
NUMA1	FAM134A	SUB1	ADARB2-AS1
ALKBH7	LOC400958	AGL	KRTAP19-8
ARHGEF6	GET4	TRAIP	XLOC_013475
XLOC_001009	ZNF812	FKBP4	GEMIN6
XLOC_009626	XLOC_007307	GDI1	HEATR2
SNX17	C4orf3	C9orf5	XLOC_l2_015011
C1orf63	XLOC_009338	KIAA1370	LMOD2
RBAK	XLOC_000939	XLOC_008558	LOC646627
XLOC_003693	TTC21A	ZCCHC11	C20orf54
XLOC_l2_005793	XLOC_006302	XLOC_l2_001592	TRMT1
C14orf101	PHIP	XLOC_000337	LOC91948
ARID3A	XLOC_011752	FCF1	AHCY
LOC100130560	ZXDA	YIPF4	ATP5H
ZADH2	CTSL1	XLOC_008573	XLOC_013720
MLLT3	ADAMTS9-AS2	ATP6V0A1	XLOC_000885
SCARNA8	S100A13	XLOC_l2_007034	XLOC_l2_012082
UBAP1	C15orf39	RNF6	HNRNPA2B1
ENOSF1	XLOC_l2_007310	XLOC_l2_005461	CLCF1
LOC646513	SP140	XRCC4	XLOC_003702
MICU1	GOLGA2P2Y	MARK2	KCNA7
XLOC_002377	PPM1D	LMOD2	XLOC_006325
XLOC_003345	ERVMER34-1	LEPROTL1	XLOC_013936
XLOC_011329	KIAA1143	KIAA1033	RAB44
MAGEB2	SYNGAP1	CDC40	KREMEN2
CD81	XLOC_006132	PIK3C2A	XLOC_l2_013277
CTSD	LOC284014	FHIT	ERCC5
GRB2	HPX-2	SNORA8	ITSN2
WDTC1	XLOC_011743	ZNF843	XLOC_007432
CHCHD10	XLOC_011369	SUPT7L	VPS13C
ELF3	CTNNA2	IDH3G	XLOC_004584
ADAM1	SART1	LUC7L3	KRCC1
XLOC_l2_010056	PHF8	HYOU1	NDUFB5
IPO13	GPR148	CLK2	XLOC_002720
XLOC_011672	LOC442028	GSK3A	ATXN2
RAB42	AMDHD2	ART1	RPS29
MRPS16	XLOC_014399	CBX3P2	TDP2
XLOC_010204	TMEM59	NELF	POM121L4P
OAS1	XLOC_013300	XLOC_l2_013439	XLOC_010319
TRIM24	MYADM	LOC100509256	XLOC_l2_004562
SLC35C1	PPP1R21	HEATR2	ZNF419
XLOC_l2_010489	XLOC_000423	AKIRIN1	XLOC_009696
XLOC_000918	XLOC_008133	LYST	CDH10
ZDHHC11	XLOC_l2_012081	XLOC_002306	XLOC_004344
XLOC_003338	ADORA2A	CAMKK2	MAGI1
PTPRB	LOC440993	BRP44L	LOC100652851
KRTAP4-12	CALML6	XLOC_010154	XLOC_l2_001118
XLOC_l2_003644	AGSK1	PRKACB	SPATS2
SNORA21	ZMYND10	GYPA	PRPF38B
ARHGAP31	STL	BPIFB2	HYLS1
LOC285178	ZDHHC14	LOC644100	ACHE
XLOC_011325	XLOC_007171	KLK1	MBD3L1
ZNF213	LOC100288602	MKKS	EBF4
TOR2A	SNORD56B	CCNI2	C20orf177
ZNF781	XLOC_002176	PPP1R13L	ZNF780A
CRYGS	EFNA3	PKHD1L1	TXN
LOC202025	SDF2	CXorf23	PPP2R5E
ZBTB2	XLOC_013407	GCA	ZGLP1
SLC19A3	Q6LRY1	GEMIN7	LOC100506192
MATL2963	FKBPL	RINT1	UFC1
USP33	C18orf62	LOC100505577	LOC729860
XLOC_011216	TIFAB	PARVG	XLOC_003677
XLOC_010829	NPDC1	SSBP1	MANSC4
XLOC_011248	FAM117B	XCR1	CAPN10
TRIM66	GOLGA6A	XLOC_l2_006155	ATOH8
RAB5C	PREX2	LOC100289580	SEPT10
MLX	DGAT2	GSTA3	SNORD94
C8orf44-SGK3	KRT1	FNIP1	XLOC_l2_012081
XLOC_002145	C1orf63	KLLN	XLOC_006200
USP6	AGAP1-IT1	IFNGR1	LOC643936
ATPAF2	XLOC_000738	RPN1	C6orf38
XLOC_011379	ZC3H7B	TOMM7	FLJ26850
LOC401480	MPPED2	LOC284023	SNORA14B
LOC729879	TMEM116	XLOC_009097	ZEB1-AS1
XLOC_l2_005294	XLOC_l2_008013	PPP1CB	XLOC_001922
ZBTB22	VHLL	ACCN4	LOC100653292
XLOC_006611	ZNF667	XLOC_009682	XLOC_006445
SCAMP4	DIAPH2	LYPLAL1	FAM5C
XLOC_l2_006665	XLOC_012314	SNORA54	TIE1
LOC100506639	DLG1	ZBTB38	XAF1
SLC30A8	XLOC_006618	C8orf59	XLOC_001882
XLOC_013838	DHH	G3BP1	MGAT4C
KCNIP1	CMC1	RNF138P1	STX1B
ZC3H7A	ZNF75A	MRPS36	ZSWIM2
XLOC_011535	WHAMM	ACTR6	NHP2
CTXN1	APOBEC3B	CNOT3	LOC100507233
MARCH3	BTNL2	PEBP1	GAFA3
OR5F1	SPEN	PPP1R11	NKTR
MLLT1	LOC146336	XLOC_001863	LOC100287497
XLOC_000905	LOC100133050	ITGA3	XLOC_009544
XLOC_004842	APOBEC3H	SFPQ	EID2
ERF	C8orf83	XLOC_013553	XLOC_012313
XLOC_007562	XLOC_l2_015127	AMDHD1	C12orf71
GSG1	KLRC1	DEFB108B	GPSM3
TCFL5	LOC100506029	SLC36A1	PADI3
LOC100290566	XLOC_005770	SNAP25	XLOC_001638
PGBD2	LOC100508202	PRPH2	C12orf75
HLA-J	LOC283177	XLOC_007278	PRELID1
ZCRB1	INSIG2	ACVR1C	FNDC4
ST6GALNAC4	SPTBN2	LRFN1	PPP6R1
SUPV3L1	ACSL3	SLC6A9	MYO1E
RIMKLA	KIR2DS2	TRIM28	ZIC4
EDARADD	XLOC_008964	LOC100188947	LOC100506905
FLJ27502	TIMP2	RYR3	NOC4L
FAM134A	ECE1	PPP1R14B	SNHG10
MOS	XLOC_l2_000556	C10orf32	MYL6
XLOC_010545	SKOR2	SEC63	XLOC_003501
HK1	LOC100129387	MANEA	C9orf152
DDX41	XCL1	LZTS2	FLI1
SNORA6	HERC2P9	SRP19	CIITA
SNORD116-12	MASP1	EIF5A	IMP5
XLOC_006661	MYO3A	UTP15	RNF208
XLOC_009668	C19orf54	RAB3GAP2	SSR1
XLOC_011545	RAB32	XLOC_l2_014711	HEG1
FCER1G	INSRR	XLOC_001035	CCS
ZNF638-IT1	SAMD13	OR7E12P	C15orf5
TNFSF13	AGTRAP	LOC729995	XLOC_002176
XLOC_001946	C6orf58	WRAP73	ZNF10
TNFAIP8L1	CSF2RA	EFHA2	PRHOXNB
SH3GLB2	XLOC_002892	GRAP	PKIA
DKK1	XLOC_005763	NUDT7	FAM167B
KIAA2026	ARHGEF9	BMPR1A	RPAP1
MAP3K3	NCOR1	LOC100507228	XLOC_001287
TAS2R45	XLOC_009067	ZNF846	DECR1
PKD2L1	UNC119	CUL5	XLOC_l2_008289
COPS7B	HIVEP3	NUDT9	XLOC_l2_009504
XLOC_009725	LOC100652915	C20orf177	TRAM1L1
MAP2K2	XLOC_005938	XLOC_014405	XLOC_002407
XLOC_001108	LOC100652874	NOC2L	RASGEF1C
LMO3	C17orf56	RAI1	COX7B
TRIM34	TUFT1	ZNF431	XLOC_010828
ZNF431	LINC00174	BHLHE22	PML
CCK	LOC644366	SCAF8	TRPV1
LOC158863	XLOC_003021	CDC37	SCGB2A2
ANKRD36B	PTGES3	MAFK	RSPH10B
HSD17B8	TGFB3	LOC731275	KCNU1
LOC254128	JPH4	PLSCR2	PPP1R1A
UBR5	ZNF32-AS3	PYY	XLOC_007171
SPON2	XLOC_l2_004854	RNF112	XLOC_009097
MAD2L2	XLOC_000721	MYEOV2	NPR2
C14orf49	LOC727710	TRIM24	MATN2
ATP5D	XLOC_l2_008031	XLOC_011573	ZNF664
XLOC_l2_013125	TMEM154	PLEKHM3	SIRPB1
RBPMS2	LOC100507000	MED16	XLOC_010114
KCNT1	FLJ27352	FOXQ1	ZNF480
KDM1A	WDR54	PTPN22	XLOC_009110
ACOT4	ZNF250	TFR2	XLOC_007136
LOC154092	FLJ21369	FASTK	PPP1R3D
TMEM132B	AFF1	CLCN4	LOC100131060
CEACAM20	SNORD116-12	CCBL1	MEI1
ENO1	PSENEN	LOC400968	DENND5B
ALDOB	CDV3	PDP1	XLOC_l2_007770
SLC35A4	TRIM56	NDUFB2	LRRC24
FLJ45482	CCDC66	SCARNA7	STL
PDGFA	SLC25A41	RALB	LINC00473
LOC731282	XLOC_013737	YWHAE	XLOC_004558
LOC100652839	PGLYRP3	KRTAP10-12	FAM201B
PPIAL4G	ZNF253	LRRN2	KIAA0753
KIF20B	XLOC_l2_010493	XLOC_002919	PRKG2
CLPTM1	XLOC_004815	ULBP1	LOC100288420
PARP14	NPIP	PHTF2	XLOC_l2_010014
PRR24	XLOC_006973	NOC4L	PARD3
KCNQ1OT1	C3orf62	XLOC_l2_003021	XLOC_l2_014697
XLOC_003601	LOC100506178	ZFAT-AS1	LOC100133050
LOC100130057	PGK1	ERCC4	XLOC_l2_002502
ELL2	LOC100652962	AP1M1	PENK
PGAM1	XLOC_l2_002433	SH3BGRL3	LOC647012
AFM	GFRA4	YIF1B	LOC100507000
TMEM185A	PFKFB4	LOC100128001	OPRL1
MYL9	SLC2A13	KAT7	CASC2
SNORD84	AFAP1L1	SEC22A	ZNF235
SNORD38A	CTAG2	ADORA2A	XLOC_011828
XLOC_005263	ANKRD11	C4A	SNAR-C3
KLF17	CCDC88C	DNAJC9	GOLGA6A
TMEM231	ANO2	SOD1	LOC100506978
FLJ44674	CSHL1	LOC100506473	LOC642924
SLC50A1	XLOC_006181	AFM	XLOC_000313
XLOC_004435	FXR2	KIAA1430	XLOC_005541
LOC100506392	FLJ44385	NLRC3	CASP10
XLOC_006555	XLOC_010879	C12orf76	CREB3L3
XLOC_004227	XLOC_004525	C6orf120	LOC100652957
PITPNM1	LOC100287326	XLOC_001329	A1CF
SVEP1	LOC100131000	EHMT2	LOC100505683
NOB1	XLOC_l2_010056	ZDHHC12	DCN
XLOC_009342	NOA1	GFM2	LOC100128644
ZNF182	XLOC_005929	MGC4859	C15orf34
Q9UJ41	XLOC_004917	HHEX	INO80E
BAGE4	ITGA3	XLOC_l2_013485	PLXNA3
USP17	CPSF7	XLOC_002012	TUBAL3
OR7E12P	SPON2	SNORA81	C11orf40
ZNF334	ZNF839	XLOC_009192	XLOC_001207
NCF4	XLOC_013504	ND4L	EFCAB5
LOC100506606	LOC100129361	CD7	C5orf41
XLOC_012727	LOC100132111	TMEM55A	LOC100129675
LOC93444	OR2T34	C2orf76	LOC646014
XLOC_l2_013311	NOL8	PARP3	LOC100652857
XLOC_006188	ZNF727	TMEM175	ATXN1L
CNTNAP4	Q982T4	PAPD4	SOD3
DNAJC3	PCCB	GRK6	KCNE1
ID3	ABCA11P	SPC25	PSMA3
NTHL1	USP32	TFE3	ARHGEF10L
XLOC_001560	CASP8	HSPB11	UPRT
ADPRHL2	MRPS14	HMGN5	XLOC_012592
LOC100131234	OXCT2	RG9MTD1	ZNF569
PSD3	UPF2	CDK2AP2	XLOC_001966
CPN2	XLOC_003147	PBRM1	XLOC_006044
LCN15	XLOC_009382	DOCK6	EXOC6
XLOC_007208	C10orf62	DNAJA1P5	MGMT
USP41	XLOC_011329	MDN1	HOXD9
SPDYE5	XAF1	SPAST	LOC84856
LOC100506948	XLOC_001756	ESAM	ACCN1
LOC100505717	MB21D2	XLOC_007248	XLOC_l2_012162
NADKD1	LOC100286922	PANK4	C10orf32
RAB5B	LOC100506948	TP53	XLOC_001999
XLOC_013579	GHSR	FLJ31183	RTKN
DCXR	MMP15	HIAT1	SLC25A3
LRRC33	TMEM170B	SLC9A1	SPDYE3
SLC25A2	OR4K1	AGFG2	TAS2R9
ASCC3	ALDOB	OR52K1	FAM7A1
UGT3A2	XLOC_l2_001952	DUS4L	TCOF1
OR2H1	PLIN1	ZNF335	SEPT6
XLOC_007506	XLOC_001946	LRMP	B3GALT6
RALY	XLOC_003048	XLOC_001009	INPP5E
XLOC_010533	MAX	RUFY3	XLOC_002682
XLOC_l2_005461	MICALCL	FAM20B	TMEM19
XLOC_l2_000900	SNX22	IPO9	FRG2B
HADHA	XLOC_002411	LMO7	TBC1D3P1-DHX40P1
XLOC_013918	AKNA	FAM73B	XLOC_l2_013099
LOC100288842	TCTEX1D2	VRK1	NF2
MAP4K1	C6orf174	PRKD3	LOC100134264
LCE5A	SNAPC4	ARFIP1	TYR
NR4A2	NSMCE1	FAM111B	GLIPR2
FOXD1	GYG1	XLOC_010533	XLOC_l2_005705
XLOC_005369	RHBDD3	RHOBTB3	RAD9A
ZSCAN18	LOC284926	AHSA2	C10orf118
LOC399753	CD48	C6orf62	REP15
SNORA81	MRPS36	LOC100506070	FXN
PCDHB9	XLOC_010467	XLOC_l2_013873	CYP7B1
BTNL9	XLOC_007301	XLOC_006337	C16orf48
ST3GAL4	ITIH4	ITCH	RTP4
MPRIP	ARL2BPP2	POLRMT	XLOC_l2_003848
LOC440356	GCAT	HNRNPA3	XIAP
XLOC_007749	GABRR3	SNORD91A	DNHD1
H2BFXP	BOD1L	ACY3	UFM1
LOC100507153	CHD9	STRN	XLOC_013898
XLOC_l2_005826	C1QTNF3	CIDEB	PCA3
LOC407835	EBPL	XLOC_002217	C19orf29-AS1
LEO1	XLOC_000022	IREB2	NPFF
SYNGR4	ZNF215	TACC3	XLOC_010720
XLOC_001035	PADI2	TBX3	OTOA
FKBP1A	EPSTI1	TRIM36	GABRR2
MTR	OR5L2	LOC100499177	LEPRE1
XLOC_004376	C17orf48	FXYD5	TBCK
EI24	XLOC_l2_009539	UBQLN1	MAP6
XLOC_012248	PSMB8	MAP3K2	LOC100507959
ARHGDIA	UPK2	EPC1	XLOC_006737
ZCWPW1	MUT	XLOC_005214	PDCD2L
NOP14	PRINS	OPTC	LOC100131346
